2024-03-12 02:57:21 status half-installed libbrotli1:amd64 1.0.9-2+b6
2024-03-12 02:57:21 status unpacked libbrotli1:amd64 1.0.9-2+b6
2024-03-12 02:57:21 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u1
2024-03-12 02:57:21 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:21 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:21 install libk5crypto3:amd64 <none> 1.20.1-2+deb12u1
2024-03-12 02:57:21 status half-installed libk5crypto3:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:21 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:21 install libkeyutils1:amd64 <none> 1.6.3-2
2024-03-12 02:57:21 status half-installed libkeyutils1:amd64 1.6.3-2
2024-03-12 02:57:21 status unpacked libkeyutils1:amd64 1.6.3-2
2024-03-12 02:57:21 install libkrb5-3:amd64 <none> 1.20.1-2+deb12u1
2024-03-12 02:57:21 status half-installed libkrb5-3:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:21 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:21 install libgssapi-krb5-2:amd64 <none> 1.20.1-2+deb12u1
2024-03-12 02:57:21 status half-installed libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:21 status unpacked libgssapi-krb5-2:amd64 1.20.1-2+deb12u1
2024-03-12 02:57:21 install libsasl2-modules-db:amd64 <none> 2.1.28+dfsg-10
2024-03-12 02:57:21 status half-installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-03-12 02:57:21 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2024-03-12 02:57:21 install libsasl2-2:amd64 <none> 2.1.28+dfsg-10
2024-03-12 02:57:21 status half-installed libsasl2-2:amd64 2.1.28+dfsg-10
2024-03-12 02:57:21 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2024-03-12 02:57:21 install libldap-2.5-0:amd64 <none> 2.5.13+dfsg-5
2024-03-12 02:57:21 status half-installed libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-03-12 02:57:21 status unpacked libldap-2.5-0:amd64 2.5.13+dfsg-5
2024-03-12 02:57:21 install libnghttp2-14:amd64 <none> 1.52.0-1+deb12u1
2024-03-12 02:57:21 status half-installed libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-03-12 02:57:21 status unpacked libnghttp2-14:amd64 1.52.0-1+deb12u1
2024-03-12 02:57:21 install libpsl5:amd64 <none> 0.21.2-1
2024-03-12 02:57:21 status half-installed libpsl5:amd64 0.21.2-1
2024-03-12 02:57:21 status unpacked libpsl5:amd64 0.21.2-1
